Image,Rights,Caption
urn:cite:bnf:gr2700img.bnf2700_img64,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 27 verso"
urn:cite:bnf:gr2700img.bnf2700_img65,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 28 recto"
urn:cite:bnf:gr2700img.bnf2700_img66,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 28 verso"
urn:cite:bnf:gr2700img.bnf2700_img67,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 29 recto"
urn:cite:bnf:gr2700img.bnf2700_img68,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 29 verso"
urn:cite:bnf:gr2700img.bnf2700_img69,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 30 recto"
urn:cite:bnf:gr2700img.bnf2700_img70,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 30 verso"
urn:cite:bnf:gr2700img.bnf2700_img71,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 31 recto"
urn:cite:bnf:gr2700img.bnf2700_img72,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 31 verso"
urn:cite:bnf:gr2700img.bnf2700_img73,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 32 recto"
urn:cite:bnf:gr2700img.bnf2700_img74,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 32 verso"
urn:cite:bnf:gr2700img.bnf2700_img75,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 33 recto"
urn:cite:bnf:gr2700img.bnf2700_img76,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 33 verso"
urn:cite:bnf:gr2700img.bnf2700_img77,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 34 recto"
urn:cite:bnf:gr2700img.bnf2700_img78,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 34 verso"
urn:cite:bnf:gr2700img.bnf2700_img79,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 35 recto"
urn:cite:bnf:gr2700img.bnf2700_img80,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 35 verso"
urn:cite:bnf:gr2700img.bnf2700_img81,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 36 recto"
urn:cite:bnf:gr2700img.bnf2700_img82,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 36 verso"
urn:cite:bnf:gr2700img.bnf2700_img83,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 37 recto"
urn:cite:bnf:gr2700img.bnf2700_img84,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 37 verso"
urn:cite:bnf:gr2700img.bnf2700_img85,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 38 recto"
urn:cite:bnf:gr2700img.bnf2700_img86,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 38 verso"
urn:cite:bnf:gr2700img.bnf2700_img87,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 39 recto"
urn:cite:bnf:gr2700img.bnf2700_img88,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 39 verso"
urn:cite:bnf:gr2700img.bnf2700_img89,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 40 recto"
urn:cite:bnf:gr2700img.bnf2700_img90,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 40 verso"
urn:cite:bnf:gr2700img.bnf2700_img91,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 41 recto"
urn:cite:bnf:gr2700img.bnf2700_img92,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 41 verso"
urn:cite:bnf:gr2700img.bnf2700_img93,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 42 recto"
urn:cite:bnf:gr2700img.bnf2700_img94,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 42 verso"
urn:cite:bnf:gr2700img.bnf2700_img95,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 43 recto"
