Image,Rights,Caption
urn:cite:bnf:gr2700img.bnf2700-page59,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 25 recto"
urn:cite:bnf:gr2700img.bnf2700-page60,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 25 verso"
urn:cite:bnf:gr2700img.bnf2700-page61,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 26 recto"
urn:cite:bnf:gr2700img.bnf2700-page62,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 26 verso"
urn:cite:bnf:gr2700img.bnf2700-page63,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 27 recto"
urn:cite:bnf:gr2700img.bnf2700-page64,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 27 verso"
urn:cite:bnf:gr2700img.bnf2700-page65,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 28 recto"
urn:cite:bnf:gr2700img.bnf2700-page66,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 28 verso"
urn:cite:bnf:gr2700img.bnf2700-page67,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 29 recto"
urn:cite:bnf:gr2700img.bnf2700-page68,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 29 verso"
urn:cite:bnf:gr2700img.bnf2700-page69,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 30 recto"
urn:cite:bnf:gr2700img.bnf2700-page70,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 30 verso"
urn:cite:bnf:gr2700img.bnf2700-page71,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 31 recto"
