Image,Rights,Caption
urn:cite:bnf:grsupp679img.bnfgrsupp679_img65,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 27 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img66,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 27 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img67,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 28 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img68,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 28 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img69,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 29 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img70,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 29 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img71,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 30 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img72,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 30 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img73,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 31 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img74,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 31 verso"
